INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
Escola Pública,ALUNO-332,12,1,1H,Não,8.25805733333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.2,7.5,10,7.29166666666666,7.44444333333333,5,1,G,Escola Pública,Veterano,Topázio,8.342,9,9.6,7.5,7.4,8.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.8,5,Nível 2 (5o e 6o ano),-1,2,F,2019,Não,8.75000266666667,12,1,1,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,10,7.5,8.75,9.5,8,,3,6.66666666666667,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Não,8.16667,10,Fase 2 (5º e 6º ano)
,ALUNO-333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Z,2022,Não,7.52349159307359,301,84,8,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,7.13203463203463,5.625,7.68333333333333,8.43333333333333,6.93333333333333,,2,5.3125,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.33333,10,ALFA  (2º e 3º ano)
,ALUNO-334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Y,2022,Não,6.252917,695,176,10,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0,5,8.125,5.9,6,5.8,,2,5.9375,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Sim,Não,8.333335,10,ALFA  (2º e 3º ano)
Escola Pública,ALUNO-335,8,0,0B,Não,7.470837,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.50002,10,4.375,9.5,2.5,5.166675,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-336,,,,,,,,,,,,,,,,,,0,I,Escola Pública,Veterano,Ametista,7.533,9,10,6.3,6.9,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.9,5,Nível 1 (4o ano),-1,0,B,2020,Não,7.1722919062828,441,129,6,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.00002,8.215624531414,7.5,6.25,6.66666666666667,5.83333333333333,,2,5.625,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.833325,5,Fase 2 (5º e 6º ano)
Rede Decisão/União,ALUNO-337,14,4,5B,Sim,8.95222333333333,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,10,7,9.16666666666666,9.11111333333333,10,5,B,Rede Decisão,Veterano,Ametista,7.661,7.5,8.1,7.5,7.3,8.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,8.5,5,Nível 6 (2o EM),-1,6,A,2016,Sim,7.12357710672675,449,12,12,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0,7.58037997807819,8.125,7.98888888888889,7.66666666666667,6.3,10,4,8.75,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,Sim,9.11111666666667,5,Fase 7 (3º EM)
Escola Pública,ALUNO-338,17,2,7A,Não,5.91270816666666,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,2.1,7.5,4.33333333333333,7.34375,6.5416625,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-339,14,2,3C,Não,8.137224,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,9.7,7.5,7.33333333333333,8.74999999999999,8.44444666666666,5,3,C,Escola Pública,Veterano,Ametista,7.676,8.8,8.1,7.5,6.2,8.5,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Sim,9.2,5,Nível 5 (1o EM),-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-340,14,2,3C,Não,7.59527733333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,9.4,7.5,7,8.54166666666666,6.88888333333333,5,3,C,Escola Pública,Veterano,Ametista,7.8,8.8,8.1,7.5,7,8.3,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Sim,9.1,5,Nível 5 (1o EM),-2,5,C,2018,Não,5.71780047863248,756,47,3,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,6.07371794871795,7.5,2.49444444444444,4.66666666666667,2.56666666666667,0.25,4,6.875,Promovido de Fase,Mantido na Fase atual,Alocado em Fase anterior,Alocado em Fase anterior,Não,Não,6.16667,5,Fase 6 (2º EM)
FIAP,ALUNO-341,19,2,8A,,9.096668,A,Topázio,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,9.16668,10,7.5,9.2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-342,11,4,2B,Não,8.133752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.00002,9.2,5.625,8,5.3125,8.5,10,2,B,Rede Decisão,Veterano,Ametista,7.392,8.5,6.7,7.5,7.6,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.4,5,Nível 3 (7o e 8o ano),-1,3,A,2016,Sim,7.02487457070707,481,61,13,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0,8.82575757575758,4.375,6.27777777777778,6.16666666666667,5.33333333333333,7.33333333333333,4,8.75,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Não,Sim,8.4583375,10,Fase 3 (7º e 8º ano)
Escola Pública,ALUNO-343,16,0,3J,Sim,7.58250066666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,8.1,7.5,8,8.125,9.00000333333333,2.5,5,L,Escola Pública,Veterano,Ametista,7.07,8.3,8.1,6.9,6,8,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,7.2,5,Nível 7 (3o EM),-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-344,16,1,6A,Não,4.348541,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,0,3.8,5,0,6.71875,7.08333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-345,8,1,0F,Não,8.5,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.50002,10,7.5,10,7.5,5.74999,10,1,F,Escola Pública,Veterano,Ágata,6.764,9.5,5,7.5,4.2,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.3,10,Nível 1 (4o ano),0,1,J,2019,Não,5.72210322705314,755,179,17,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,7.04106280193237,7.5,1.33333333333333,0.666666666666667,2,,3,5.41666666666667,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,6.77777666666667,5,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-346,8,1,1A,Não,8.418752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.00002,8,7.5,9.5,7.1875,7.75,10,1,A,Escola Pública,Veterano,Quartzo,4.925,7.9,3.8,7.5,0,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,4.4,10,Nível 1 (4o ano),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,F,2022,Não,7.38720338095238,366,110,5,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,8.57142857142857,5,6.83333333333333,7,6.66666666666667,,2,4.0625,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,6.999995,10,ALFA  (2º e 3º ano)
Escola Pública,ALUNO-348,9,1,0D,Não,7.79167,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,10,6.25,9.5,2.5,7.83334,5,1,F,Escola Pública,Veterano,Ametista,7.558,10,8.8,7.5,6.4,7.7,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.5,5,Nível 2 (5o e 6o ano),-1,1,J,2019,Não,6.58943347826087,630,153,13,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.50002,8.81521739130435,7.5,3.66666666666667,3.33333333333333,4,,3,6.04166666666667,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,6.94444,5,Fase 2 (5º e 6º ano)
Escola Pública,ALUNO-349,10,0,0C,Sim,9.200004,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,10,7.5,10,10,10.00001,5,1,C,Escola Pública,Veterano,Quartzo,4.414,8,3.3,7.5,0.4,6.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,4.6,5,Nível 2 (5o e 6o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,K,2022,Não,8.48083414195466,37,8,2,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.60832404310665,7.5,9.06666666666667,9.36666666666667,8.76666666666667,,2,5.625,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Sim,Sim,8.41667,10,ALFA  (2º e 3º ano)
,ALUNO-351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,F,2022,Não,8.06250266666667,129,17,3,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.00002,10,5,7.75,6,9.5,,3,6.45833333333333,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,7.83333666666667,10,Fase 2 (5º e 6º ano)
,ALUNO-352,,,,,,,,,,,,,,,,,,4,F,Escola Pública,Ingressante,Ágata,5.783,7.5,3.6,7.5,3.5,7.2,Promovido de Fase,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,5.7,10,Nível 4 (9o ano),0,4,F,2021,Não,6.60706064187051,623,56,12,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.7748840426859,7.5,4.66666666666667,4.66666666666667,6.83333333333333,2.5,4,7.1875,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase,Sim,Não,7.3749975,5,Fase 5 (1º EM)
Escola Pública,ALUNO-353,12,1,2G,Não,7.16555666666666,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,8.3,6.25,6,7.91666666666666,6.94443999999999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-354,15,4,4F,Não,4.656042,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,3.4,4.375,0,7.96875,6.624995,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-355,11,1,1N,Não,6.407502,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.50002,8.1,5,4,7.70833333333333,7.33333333333333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,K,2022,Não,6.602085,626,169,9,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,5.83333333333333,4.375,7.91666666666667,7.76666666666667,8.06666666666667,,2,5.3125,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,6.916665,5,Fase 1 (4º ano)
,ALUNO-357,,,,,,,,,,,,,,,,,,3,M,Escola Pública,Ingressante,Ágata,6.854,8.3,5.3,7.5,5.9,7.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.6,10,Nível 3 (7o e 8o ano),0,3,K,2021,Não,6.36111061111111,666,88,14,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,5.69444444444444,7.5,5.11111111111111,5,6.83333333333333,3.5,4,7.5,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Não,6.4166575,5,Fase 4 (9º ano)
,ALUNO-358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,D,2022,Não,6.11249966666667,706,14,8,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.33333333333333,5,3.5,7,0,,4,6.875,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Sim,Não,6.33333,5,Fase 8 (Universitários)
Escola Pública,ALUNO-359,10,1,2F,Não,8.17527933333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.50002,9.3,7.5,7,7.70833333333333,7.72221999999999,10,2,E,Escola Pública,Veterano,Ametista,7.326,8,5,7.5,8,8.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,9.1,5,Nível 3 (7o e 8o ano),-1,3,I,2019,Não,7.9255425778089,162,26,1,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.70930594460006,7.5,6.94444444444444,5.33333333333333,7,8.5,4,8.28125,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Sim,Não,7.9166675,10,Fase 3 (7º e 8º ano)
,ALUNO-360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,2022,Não,5.93854133333333,734,106,3,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.66667,5.08333333333333,5.625,3.83333333333333,7,4.5,0,4,7.34375,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não,Não,5.95833,10,Fase 3 (7º e 8º ano)
Escola Pública,ALUNO-361,9,1,1F,Não,5.668335,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.00002,4.3,5.625,0,8.125,7.666665,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A,2022,Não,7.99290067107133,145,22,5,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,9.17109974424552,7.5,6.11111111111111,3.66666666666667,6.66666666666667,8,4,8.28125,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Sim,Não,8.0416675,10,Fase 3 (7º e 8º ano)
,ALUNO-363,,,,,,,,,,,,,,,,,,0,O,Escola Pública,Ingressante,Ametista,8.231,10,8.3,7.5,6.5,7.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.7,10,ALFA  (2o e 3o ano),0,0,G,2021,Não,7.42035356410256,348,102,3,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,8.73717948717949,7.5,7.83333333333333,8,7.66666666666667,,2,4.0625,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,7.249995,5,Fase 1 (4º ano)
Escola Pública,ALUNO-364,9,1,1B,Não,7.813335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.00002,9.9,4.375,7.5,5.625,7.166665,10,2,A,Escola Pública,Veterano,Ágata,6.306,0,7.5,4.4,4.7,7.1,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.6,10,Nível 2 (5o e 6o ano),0,2,A,2019,Não,6.31278837389771,683,126,12,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.41668,6.8694885361552,4.375,5,3,7,,3,6.04166666666667,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,5.77778,10,Fase 2 (5º e 6º ano)
Rede Decisão/União,ALUNO-365,15,3,5G,Sim,8.39604433333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.6,5,6.66666666666666,8.59375,9.125005,10,6,C,Rede Decisão,Veterano,Ametista,7.376,9.2,6.9,5,6.5,6.9,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.9,10,Nível 6 (2o EM),0,7,A,2017,Sim,5.95130796732026,731,15,7,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,4.46764705882353,5.625,5.01111111111111,2.83333333333333,3.53333333333333,8.66666666666667,4,5.625,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não,Não,5.27777666666667,10,Fase 7 (3º EM)
,ALUNO-366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,M,2022,Não,5.55738870634921,781,116,14,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.41666,6.85119047619048,6.25,3.05555555555556,2.66666666666667,4.83333333333333,1.66666666666667,4,7.34375,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,Sim,Não,5.8749925,5,Fase 4 (9º ano)
Escola Pública,ALUNO-367,13,4,3F,Não,8.32583466666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.4,7.5,6.66666666666666,8.125,8.16666666666666,10,4,F,Escola Pública,Veterano,Ágata,6.392,7.9,4.4,7.5,4.8,7,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,6.5,10,Nível 4 (9o ano),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNISA,ALUNO-368,18,1,8A,,8.695001,B,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,8.75001,10,7.5,8.3,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALUNO-369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,B,2022,Não,6.48782679738562,645,39,13,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,7.60580065359477,7.5,5,4.5,4.5,6,3,5.41666666666667,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,6.499995,5,Fase 7 (3º EM)
Escola Pública,ALUNO-370,13,1,3G,Sim,8.613335,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,9.9,7.5,6.5,8.75,9.16666999999999,10,3,G,Escola Pública,Veterano,Ametista,8.196,7.9,8.9,6.3,9.1,9,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,8.9,5,Nível 4 (9o ano),-1,4,F,2019,Não,7.69211910461761,237,20,4,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.78003246753247,5.625,8.55555555555556,8,8.16666666666667,9.5,4,8.125,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,Sim,8.5833375,5,Fase 5 (1º EM)
Rede Decisão/União,ALUNO-371,17,3,7B,Não,7.37979266666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,7.8,5,7.33333333333333,5.78125,7.41667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,ALUNO-372,12,3,2E,Não,6.816668,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.00002,8,5,6,7.5,6.83333,5,2,E,Escola Pública,Veterano,Ágata,6.36,8,5.4,7.5,4.9,7.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.4,5,Nível 3 (7o e 8o ano),-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
